class_index,class_name,precision,recall,f1_score,support
0,A,0.0,0.0,0.0,0
1,Angry,1.0,1.0,1.0,8
2,B,0.0,0.0,0.0,0
3,Baby,1.0,1.0,1.0,8
4,Bad,1.0,1.0,1.0,8
5,Bath,1.0,1.0,1.0,7
6,Bike,1.0,1.0,1.0,7
7,Blood,0.0,0.0,0.0,0
8,Book,0.0,0.0,0.0,0
9,Brother,0.0,0.0,0.0,0
10,Bus,1.0,1.0,1.0,7
11,C,0.0,0.0,0.0,0
12,Call,1.0,1.0,1.0,7
13,Car,0.0,0.0,0.0,0
14,Child,1.0,1.0,1.0,8
15,Coffee,1.0,1.0,1.0,7
16,Cold,0.0,0.0,0.0,0
17,Come,1.0,1.0,1.0,7
18,D,0.0,0.0,0.0,0
19,Danger,0.0,0.0,0.0,0
20,Day,0.0,0.0,0.0,0
21,Doctor,1.0,1.0,1.0,8
22,E,0.0,0.0,0.0,0
23,Eight,0.0,0.0,0.0,0
24,Emergency,1.0,1.0,1.0,8
25,Exam,1.0,1.0,1.0,7
26,F,0.0,0.0,0.0,0
27,Fail,1.0,1.0,1.0,7
28,Family,1.0,1.0,1.0,8
29,Far,0.0,0.0,0.0,0
30,Father,0.0,0.0,0.0,0
31,Finish,1.0,1.0,1.0,7
32,Fire,1.0,1.0,1.0,7
33,Five,0.0,0.0,0.0,0
34,Food,1.0,1.0,1.0,7
35,Four,0.0,0.0,0.0,0
36,Friend,1.0,1.0,1.0,8
37,G,0.0,0.0,0.0,0
38,Go,1.0,1.0,1.0,7
39,Good Morning,1.0,1.0,1.0,8
40,Good Night,1.0,1.0,1.0,8
41,Great,1.0,1.0,1.0,8
42,H,0.0,0.0,0.0,0
43,Happy,1.0,1.0,1.0,8
44,Hello,1.0,1.0,1.0,7
45,Help,1.0,1.0,1.0,8
46,Home,0.0,0.0,0.0,0
47,Hospital,1.0,1.0,1.0,7
48,Hot,0.0,0.0,0.0,0
49,How Are You,1.0,1.0,1.0,7
50,I,0.0,0.0,0.0,0
51,I Am Fine,1.0,1.0,1.0,8
52,J,0.0,0.0,0.0,0
53,K,0.0,0.0,0.0,0
54,L,0.0,0.0,0.0,0
55,Learn,1.0,1.0,1.0,8
56,Left,0.0,0.0,0.0,0
57,Love,1.0,1.0,1.0,8
58,M,0.0,0.0,0.0,0
59,Marriage,1.0,1.0,1.0,7
60,Medicine,0.0,0.0,0.0,0
61,Milk,1.0,1.0,1.0,7
62,Money,0.0,0.0,0.0,0
63,Mother,0.0,0.0,0.0,0
64,N,0.0,0.0,0.0,0
65,Namaste,0.0,0.0,0.0,0
66,Near,0.0,0.0,0.0,0
67,Night,0.0,0.0,0.0,0
68,Nine,0.0,0.0,0.0,0
69,No,0.0,0.0,0.0,0
70,Notebook,0.0,0.0,0.0,0
71,O,0.0,0.0,0.0,0
72,Okay,0.0,0.0,0.0,0
73,One,0.0,0.0,0.0,0
74,P,0.0,0.0,0.0,0
75,Pain,1.0,1.0,1.0,7
76,Pass,1.0,1.0,1.0,7
77,Pen,0.0,0.0,0.0,0
78,Please,1.0,1.0,1.0,8
79,Police,1.0,1.0,1.0,8
80,Q,0.0,0.0,0.0,0
81,R,0.0,0.0,0.0,0
82,Rice,0.0,0.0,0.0,0
83,Right,0.0,0.0,0.0,0
84,Road,1.0,1.0,1.0,8
85,S,0.0,0.0,0.0,0
86,Sad,1.0,1.0,1.0,8
87,Scared,1.0,1.0,1.0,8
88,Seven,0.0,0.0,0.0,0
89,Shop,1.0,1.0,1.0,8
90,Sister,0.0,0.0,0.0,0
91,Six,0.0,0.0,0.0,0
92,Sleep,1.0,1.0,1.0,7
93,Sorry,0.0,0.0,0.0,0
94,Start,1.0,1.0,1.0,8
95,Stop,0.0,0.0,0.0,0
96,Straight,1.0,1.0,1.0,7
97,Student,0.0,0.0,0.0,0
98,Study,1.0,1.0,1.0,8
99,T,0.0,0.0,0.0,0
100,Tea,0.0,0.0,0.0,0
101,Teacher,1.0,1.0,1.0,7
102,Ten,0.0,0.0,0.0,0
103,Thank You,1.0,1.0,1.0,7
104,Three,0.0,0.0,0.0,0
105,Time,0.0,0.0,0.0,0
106,Tired,1.0,1.0,1.0,7
107,Today,1.0,1.0,1.0,8
108,Tomorrow,1.0,1.0,1.0,7
109,Train,1.0,1.0,1.0,8
110,Two,0.0,0.0,0.0,0
111,U,0.0,0.0,0.0,0
112,V,0.0,0.0,0.0,0
113,W,0.0,0.0,0.0,0
114,Wait,0.0,0.0,0.0,0
115,Wake Up,1.0,1.0,1.0,8
116,Water,0.0,0.0,0.0,0
117,Welcome,1.0,1.0,1.0,7
118,Work,1.0,1.0,1.0,7
119,X,0.0,0.0,0.0,0
120,Y,0.0,0.0,0.0,0
121,Yes,0.0,0.0,0.0,0
122,Yesterday,1.0,1.0,1.0,8
123,Z,0.0,0.0,0.0,0
